Title,Start,End,Mark,URL
PhD Colloquium by Sweety Arora,10-12-2020 11.30,10-12-2020 12.30,Info,https://materials.iisc.ac.in/blog/2020/10/05/12-oct-2020-11-30am-phd-colloquium-by-ms-sweety-arora/
"Seminar by Prof. Maria Teresa Prado, Materials Institute in Madrid, Spain",10-15-2020  6.00 PM,10-15-2020  7.00 PM,Info,https://materials.iisc.ac.in/blog/2020/10/05/15-oct-2020-6pm-seminar-by-prof-maria-teresa-prado/
PhD Colloquium by Yudhajit Bhattacharjee,10-27-2020 11.30 AM,10-27-2020 12.30 PM,Info,https://materials.iisc.ac.in/blog/2020/10/05/27-oct-2020-11-30am-phd-colloquium-by-mr-yudhajit-bhattacharjee/
PhD Defence by Mr. Levie Mweene,12-16-2020 11.00 AM,12-16-2020 12.00 PM,Info,
PhD Thesis Defence  by Mr. Kundan Kumar Verma,12-23-2020 11.30 AM,12-23-2020 12.30 PM,Info,https://materials.iisc.ac.in/defence/kundan-kumar-23-dec-2020
Seminar by Prof. Umesh V Waghmare,12-24-2020 04.00 PM,12-24-2020 05.00 PM,Important,https://materials.iisc.ac.in/seminar/waghmare-24-dec-2020
PhD Thesis Defence  by Mr. Fiyanshu Kaka,12-29-2020 02.00 PM,12-29-2020 03.00 PM,Info,https://materials.iisc.ac.in/defence/fiyanshu-29-dec-2020
PhD Thesis Colloquium  by Mr. Ujjval Bansal,01-11-2021 14.30,01-11-2021 15.30,Info,https://materials.iisc.ac.in/colloquium/ujjval-11-jan-2021
PhD Thesis Defence  by Mr. Ashutosh Jangde,01-08-2021 15.00,01-08-2021 16.00,Info,https://materials.iisc.ac.in/defence/ashutosh-08-jan-2021
PhD Thesis Defence  by Mr. Esakkiraja N,02-02-2021 16.00,02-02-2021 17.00,Info,https://materials.iisc.ac.in/defence/esakkiraja-02-feb-2021
PhD Thesis Defence  by Mr. Arnab De,02-05-2021 10.30,02-05-2021 11.30,Info,https://materials.iisc.ac.in/defence/arnab-05-feb-2021
Seminar by Prof. Peter Voorhees,02-09-2021 20.00,02-09-2021 21.00,Important,https://materials.iisc.ac.in/seminar/peter-09-feb-2021
PhD Thesis Defence  by Mr. Gobinda Das Adhikary,02-11-2021 15.00,02-11-2021 16.00,Info,https://materials.iisc.ac.in/defence/gobinda-11-feb-2021
